ID,Possession Status,Availability Starts From,Floor No,Commercial,Developer,Approved Authority Name,Units Available,Price
12385,Ready to Move,,1,N,,,,1900000.0
12384,Ready to Move,,3,N,,,,1500000.0
12383,Ready to Move,,3,N,,,,3350000.0
12382,Ready to Move,,Ground,N,,,,2160000.0
12381,Ready to Move,,2,N,,,,2500000.0
12380,Ready to Move,,2,N,,,,2300000.0
12379,Ready to Move,,Ground,N,,,,3500000.0
12378,Ready to Move,,2,N,,ABAMNC,,2300000.0
12377,Ready to Move,,3,N,,,,2000000.0
12376,Ready to Move,,2,N,,,,3900000.0
12375,Ready to Move,,3,N,Shree Ganesh Builders & Developers,ABADev,,2300000.0
12374,Ready to Move,,4,N,,ABARWA,,3500000.0
12373,Ready to Move,,7,N,Famous Builders And Developers,,,4000000.0
12372,Ready to Move,,2,N,Samarth Sai Builders & Developers,,,6400000.0
12371,Ready to Move,,3,N,The Wadhwa Group,,,5000000.0
12370,Ready to Move,,9,N,Madan Chikankar,,,5800000.0
12369,Ready to Move,,4,N,,,,2400000.0
12368,Ready to Move,,4,N,,,,4500000.0
12367,Ready to Move,,7,N,Soham Construction Pvt. Ltd.,,,3000000.0
12366,Ready to Move,,4,N,,,,1250000.0
12365,Ready to Move,,Ground,N,,,,1600000.0
12364,Ready to Move,,5,N,,ABAMNC,2.0,4000000.0
12363,Ready to Move,,8,N,,,,3800000.0
12362,Ready to Move,,2,N,,,,6000000.0
12361,Ready to Move,,6,N,Lok Group,,,6000000.0
12360,Ready to Move,,2,N,,,,2000000.0
12359,Ready to Move,,6,N,,ABAMNC,,4300000.0
12358,Ready to Move,,2,N,Laxmi Housing Builders and Developers,ABAMNC,,3700000.0
12357,Ready to Move,,7,N,,,,4600000.0
12356,Under Construction,Dec '24,6,N,,KDMC,25.0,4800000.0
12355,Under Construction,Jun '24,12,N,,,,4100000.0
12354,Under Construction,Dec '24,13,N,,KDMC,4.0,3050000.0
12353,Under Construction,Jun '25,19,N,,KDMC,0.0,2900000.0
12352,Under Construction,Dec '25,20,N,Kohinoor Group,KDMC,,2999000.0
12351,Under Construction,Jun '24,11,N,West Pioneer Properties India Pvt. Ltd.,KDMC,10.0,9000000.0
12350,Under Construction,Dec '24,12,N,Kohinoor Group,KDMC,102.0,6590000.0
12349,Under Construction,Dec '24,5,N,Mali Infra,KDMC,79.0,2550000.0
12348,Under Construction,Dec '24,12,N,Kohinoor Group,KDMC,102.0,2940000.0
12347,Ready to Move,,3,N,Sai Siddhi Developers,ABAMNC,3.0,2616000.0
12346,Under Construction,Jun '25,12,Y,Kohinoor Group,KDMC,45.0,3000000.0
12345,Ready to Move,,2,N,,ABAMNC,1.0,2900000.0
12344,Ready to Move,,Ground,N,,ABAMNC,1.0,4200000.0
12343,Under Construction,Dec '24,8,N,,KDMC,3.0,2995000.0
12342,Ready to Move,,3,N,Lok Group,KDMC,2.0,7000000.0
12341,Under Construction,Dec '23,15,N,,KDMC,4.0,4119000.0
12340,Under Construction,Jun '25,15,N,Kohinoor Group,KDMC,10.0,5500000.0
12339,Under Construction,Jun '25,9,N,Kohinoor Group,KDMC,10.0,3200000.0
12338,Under Construction,Dec '25,5,N,Kohinoor Group,KDMC,2.0,4200000.0
12337,Under Construction,Dec '25,5,N,Kohinoor Group,KDMC,2.0,2990000.0
12336,Ready to Move,,10,N,Samarth Sai Builders & Developers,KDMC,50.0,3400000.0
12335,Under Construction,May '25,8,N,Kohinoor Group,ABADev,,3640000.0
12334,Under Construction,May '25,10,N,Kohinoor Group,ABADev,,3153000.0
12333,Ready to Move,,15,N,Gopal Krishna Developers,KDMC,2.0,5400000.0
12332,Under Construction,Dec '25,11,N,Kohinoor Group,KDMC,25.0,4100000.0
12331,Under Construction,Mar '25,13,N,,KDMC,4.0,4000000.0
12330,Under Construction,Dec '24,13,N,Kohinoor Group,KDMC,2.0,4387000.0
12329,Under Construction,Dec '24,8,Y,,KDMC,12.0,2899000.0
12328,Under Construction,Jun '25,8,N,Kohinoor Group,KDMC,12.0,4750000.0
12327,Under Construction,Dec '23,29,N,,MMRDA,10.0,23000000.0
12326,Under Construction,Dec '26,29,Y,Roswalt Realty,MCGM,500.0,14800000.0
12325,Under Construction,Dec '25,10,Y,Paradigm Realty,MCGM,5.0,11000000.0
12324,Ready to Move,,8,Y,Indra Darshan Developer,MCGM,2.0,26500000.0
12323,Under Construction,Dec '25,Upper Basement,N,Sunteck Realty Ltd.,MCGM,3.0,20300000.0
12322,Under Construction,Mar '25,15,N,Paradigm Realty,MCGM,1.0,11500000.0
12321,Under Construction,Dec '25,25,Y,Paradigm Realty,,,8400000.0
12320,Under Construction,Mar '23,19,N,,,,12200000.0
12319,Ready to Move,,15,N,,MCGM,,28500000.0
12318,Ready to Move,,15,N,Lodha,,,50000000.0
12317,Ready to Move,,7,N,Chunawalas Constructions,MCGM,0.0,14000000.0
12316,Under Construction,Dec '25,12,N,Paradigm Realty,MCGM,5.0,12900000.0
12315,Ready to Move,,,N,Matra Realty Ltd.,ABAAut,11.0,19500000.0
12314,Under Construction,Dec '25,29,N,Paradigm Realty,ABADev,4.0,8000000.0
12313,Under Construction,Nov '26,24,N,Roswalt Realty,MCGM,2.0,19500000.0
12312,Ready to Move,,2,N,,MCGM,0.0,11000000.0
12311,Ready to Move,,4,N,Lodha,MCGM,0.0,22500000.0
12310,Ready to Move,,4,N,Serenity Groups,MCGM,0.0,20000000.0
12309,Ready to Move,,Lower Basement,N,,MCGM,,16700000.0
12308,Under Construction,Dec '26,8,N,Roswalt Realty,MCGM,35.0,22000000.0
12307,Under Construction,Dec '23,23,N,Paradigm Realty,MCGM,,10900000.0
12306,Ready to Move,,4,N,Samarth Development Corporation,MCGM,0.0,28500000.0
12305,Ready to Move,,8,Y,,MCGM,0.0,135000000.0
12304,Ready to Move,,15,N,Windsor Realty,MHADA,5.0,120000000.0
12303,Under Construction,Dec '25,23,N,Paradigm Realty,ABADev,4.0,7800000.0
12302,Jun '26,Jun '26,,Y,Paradigm Realty,,,12300000.0
12301,Jun '26,Jun '26,,Y,Paradigm Realty,,,7100000.0
12300,Dec '28,,,Y,Roswalt Realty,,,15800000.0
12299,Nov '25,,,Y,Lashkaria Housing and Infrastructure Pvt Ltd,,,9420000.0
12298,Dec '28,,,Y,Roswalt Realty,,,10300000.0
12297,Under Construction,Dec '25,29,N,Paradigm Realty,ABADev,4.0,8000000.0
12296,Under Construction,Nov '26,24,N,Roswalt Realty,MCGM,2.0,19500000.0
